id,word,pos,gender,translation,example_de,example_en,frequency,dispersion
1588,ehrlich,adj,,honest,"Ich denke, dass sie nicht immer ehrlich zu mir ist.",I don’t think she’s always honest with me.,54.4583337563506,0.902459906451828
1589,beachten,verb,,"to pay attention, observe",Bitte beachten Sie die Vorschriften.,Please pay attention to the regulations.,54.4090501963901,0.866388409851529
1590,statistisch,adj,,statistical,Johanna studiert Soziologie und arbeitet mit statistischen Methoden.,Johanna studies sociology and works with statistical methods.,54.3597666364296,0.662947192501219
1591,Hals,noun,der,"neck, throat",Sie trägt immer eine goldene Kette um ihren Hals.,She always wears a golden chain around her neck.,54.3104830764691,0.868077727304179
1592,durchsetzen,verb,,"to carry through, enforce, implement","Es ist unklar, ob es möglich ist, die Reformen durchzusetzen.",It is unclear whether it is possible to implement the reforms.,54.2611995165086,0.924487760778795
1593,italienisch,adj,,Italian,Michelangelo war ein italienischer Künstler.,Michelangelo was an Italian artist. das Italian • Meine Nachbarin spricht Italienisch. – My neighbor speaks Italian.,54.2611995165086,0.893931564092976
1594,Scheiße,noun,die,"crap, shit","Der Vater erklärt seinem Kind, dass “Scheiße” ein sehr schlechtes Wort ist.",The father explains to his child that “shit” is a very bad word.,54.2611995165086,0.696160859075245
1595,Telefon,noun,das,telephone,Am Telefon klingt sie wie ihre Mutter.,"On the phone, she sounds like her mother.",54.2611995165086,0.88340356734466
1596,Herbst,noun,der,autumn,Im Herbst sinken die Temperaturen.,Temperatures drop in fall.,54.2119159565481,0.911729772301249
1597,Ausstellung,noun,die,exhibition,Die neue Ausstellung zur DDR ist sehr interessant.,The new exhibition on the GDR is very interesting.,54.1626323965876,0.788568415341994
1598,Bau,noun,der,"construction, building",Der Bau der neuen Oper kostet mehrere Millionen.,The construction of the new opera house will cost several million.,54.1626323965876,0.915240233000406
1599,Keller,noun,der,cellar,Wir lagern unseren Wein im Keller.,We store our wine in the cellar.,54.1626323965876,0.739767736487121
1600,Bürgermeister,noun,der,mayor,Der Bürgermeister unserer Stadt ist Mitglied der SPD.,The mayor of our town is a member of the SPD.,54.1133488366271,0.836654669521769
1601,entlang,prep,,along,Sie läuft den Strand entlang und sammelt Steine.,She walks along the beach and collects stones.,54.1133488366271,0.911169514156197
1602,Flasche,noun,die,bottle,Wir teilen uns eine Flasche Wein zum Abendessen.,We share a bottle of wine with dinner.,54.0640652766666,0.879896941232768
1603,wunderbar,adj,,wonderful,Diese Sängerin hat eine wunderbare Stimme.,This singer has a wonderful voice.,53.9654981567456,0.903869898468359
1604,Zweck,noun,der,purpose,Sie sammeln Geld für einen besonderen Zweck.,They’re raising money for a special purpose.,53.9654981567456,0.897063415145914
1605,ehren,verb,,to honor,Heute ehren wir die Soldatinnen und Soldaten unseres Landes.,Today we honor the soldiers of our country.,53.9162145967851,0.645835473884327
1606,Verwendung,noun,die,use,"Wirf das nicht weg, denn vielleicht hat jemand anderes Verwendung dafür.","Don’t throw that away, because maybe someone else has a use for it.",53.9162145967851,0.845319588059147
1607,letztlich,adv,,in the end,"Letztlich blieben wir zu Hause, weil wir uns nicht auf einen Film einigen konnten.",In the end we stayed home because we couldn’t agree on a movie.,53.8176474768641,0.91817099535556
1608,Fläche,noun,die,"area, surface",Der Preis steigt mit der Fläche der Wohnung.,The price increases with the area of the apartment.,53.7190803569431,0.878271333885868
1609,streichen,verb,,"to paint, cancel",Wir streichen die Wohnung in einer schönen Farbe.,We’re painting the apartment a nice color.,53.7190803569431,0.896812805880335
1610,zitieren,verb,,to quote,Jonas zitiert den Autor des Buches.,Jonas quotes the author of the book.,53.7190803569431,0.876188237904889
1611,senken,verb,,"to sink, lower, decrease",Die neue Regierung senkt die hohen Steuern.,The new government lowers the high taxes.,53.6697967969826,0.91487859455655
1612,behalten,verb,,to keep,"Er behält nur Dinge, die er regelmäßig benutzt.",He only keeps things he uses regularly.,53.6205132370221,0.94939127554521
1613,gestalten,verb,,"to shape, design",Die Schüler gestalten ihre eigene Zeitung.,The students design their own newspaper.,53.6205132370221,0.909378059601652
1614,beweisen,verb,,to prove,Das Experiment beweist die positiven Auswirkungen des Produkts auf die Gesundheit.,The experiment proves the product’s positive effects on health.,53.5712296770616,0.945748831975955
1615,Umgang,noun,der,"dealings, contact",Ludwig ist sehr freundlich im Umgang mit Kunden.,Ludwig is very pleasant while dealing with customers.,53.5712296770616,0.915891794547896
1616,überprüfen,verb,,to check,Wir müssen ihre Papiere überprüfen.,We have to check your papers.,53.5219461171011,0.917117507811121
1617,Lehrstuhl,noun,der,"professorship, chair",Sie arbeitet am Lehrstuhl für Physik.,She works at the Chair of Physics.,53.4726625571406,0.472757019884815
1618,schenken,verb,,to give (as a present),Sie schenkt ihrer Mutter ein Buch zum Geburtstag.,She’s giving her mother a book for her birthday.,53.4726625571406,0.909100260860441
1619,Vorschlag,noun,der,"suggestion, proposal",Matthias ist immer offen für neue Vorschläge.,Matthias is always open to new suggestions.,53.4726625571406,0.902017968566643
1620,anhalten,verb,,"to stop, last",Wir sollten anhalten und nach dem Weg fragen.,We should stop and ask for directions.,53.3740954372196,0.934254227790461
1621,entfernt,adj,,"distant, away",Berlin ist über 100 Kilometer von Leipzig entfernt.,Berlin is more than 100 kilometers away from Leipzig.,53.2755283172986,0.933961548737627
1622,Leiter,noun,der,leader,Als Leiter des Projekts solltest du gut organisieren können.,"As the project leader, you should be able to organize well.",53.2755283172986,0.900855152699703
1622,Leiter,noun,die,ladder,"Er benutzt eine Leiter, um die Fenster zu putzen.",He uses a ladder to clean the windows.,53.2755283172986,0.900855152699703
1623,Parlament,noun,das,parliament,Der Minister der Partei hält eine Rede im Parlament.,The party’s minister gives a speech in parliament.,53.2755283172986,0.814125730938248
1624,stürzen,verb,,"to fall, stumble",Ich habe die Stufe nicht gesehen und bin gestürzt.,I didn’t see the step and fell.,53.2262447573381,0.913105996443097
1625,Waffe,noun,die,weapon,Die Polizei findet Waffen in seiner Wohnung.,The police find weapons in his apartment.,53.2262447573381,0.887574929543844
1626,Kriterium,noun,das,criterion,Frau Schneider erfüllt alle erforderlichen Kriterien für den Job.,Mrs. Schneider fulfills all necessary criteria for the job.,53.1276776374171,0.868935312295273
1627,Beifall,noun,der,applause,Für das neue Stück im Theater gibt es vom Publikum großen Beifall.,The new play in the theater receives great applause from the audience.,53.0291105174961,0.246086670573708
1628,zerstören,verb,,to destroy,Der Bau der neuen Straße zerstört den Wald.,The construction of the new street is destroying the forest.,53.0291105174961,0.933072448480591
1629,zuhören,verb,,to listen,Die Studenten hören dem Professor zu.,The students listen to the professor.,53.0291105174961,0.890879967991592
1630,ausfallen,verb,,"to drop out, be canceled","Fällt ein Flug aus, werden die Reisenden benachrichtigt.","If a flight is canceled, the passengers are notified.",52.9305433975751,0.910312439379025
1631,Weile,noun,die,while,"Es dauert noch eine Weile, bis der Bus kommt.",It will take a while until the bus arrives.,52.8812598376146,0.844558372512969
1632,drängen,verb,,"to push, insist","Ihre Eltern drängen sie zu einem Studium, obwohl sie lieber reisen würde.","Her parents push her to study, although she would rather travel.",52.8319762776541,0.930300396206073
1633,einerseits,adv,,on the one hand,"Einerseits freue ich mich, dass du nach Berlin ziehst, andererseits bin ich auch traurig, dass du gehst.","On the one hand I’m happy that you’re moving to Berlin, on the other hand I’m also sad that you’re leaving.",52.7826927176936,0.901900219711807
1634,Spannung,noun,die,"suspense, tension",Ich mag die intensive Spannung des Films.,I like the intense tension of the movie.,52.7826927176936,0.71017338671915
1635,Fortschritt,noun,der,progress,John macht Fortschritte in der Schule und bekommt immer bessere Noten.,John’s making progress at school and getting better and better grades.,52.7334091577331,0.850729484432887
1636,Mathematik,noun,die,mathematics,"In der Schule hat Laura Physik, Mathematik und andere Fächer.","At school Laura studies physics, mathematics, and other subjects.",52.7334091577331,0.736303476742002
1637,Bad,noun,das,"bath, bathroom, spa",Die neue Wohnung hat zwei Bäder.,The new apartment has two bathrooms.,52.6348420378121,0.87268392272493
1638,erläutern,verb,,to explain,Der Professor erläutert ein aktuelles Problem in der Wirtschaft.,The professor explains a current problem in the economy.,52.6348420378121,0.871235321883057
1639,packen,verb,,"to pack, grab","Hier ist eine Liste mit Dingen, die du in die Tasche packen sollst.",Here’s a list of things you should pack in your bag.,52.6348420378121,0.89994531011042
1640,Großbritannien,noun,das,Great Britain,Die Hauptstadt von Großbritannien ist London.,The capital of Great Britain is London.,52.5362749178911,0.837125386263817
1641,vorsichtig,adj,,"cautious, careful",Sei vorsichtig mit dem teuren Glas!,Be careful with the expensive glass!,52.5362749178911,0.911387053717903
1642,anwenden,verb,,"to apply, employ",In meinem Job möchte ich mein politisches und wirtschaftliches Wissen anwenden.,In my job I want to apply my political and economic knowledge.,52.4377077979701,0.851364571152532
1643,wild,adj,,wild,Im Garten spielen die Hunde wild miteinander.,In the garden the dogs play wildly with each other.,52.4377077979701,0.901945535828453
1644,gesetzlich,adj,,legal,Das Gericht entscheidet über eine neue gesetzliche Regelung.,The court decides on a new legal regulation.,52.3391406780491,0.816921015362973
1645,Spitze,noun,die,"point, top, peak",Die Spitze des Messers ist sehr scharf.,The point of the knife is very sharp.,52.2898571180886,0.923146793370746
1646,Gerät,noun,das,"tool, piece of equipment, appliance",Wir haben sehr viele elektrische Geräte zu Hause.,We have a lot of electrical equipment at home.,52.2405735581281,0.829684440433602
1647,Wille,noun,der,will,"Er hat einen starken Willen und macht das, was er will.",He has a strong will and does what he wants.,52.2405735581281,0.905648797076103
1648,sicherlich,adv,,certainly,"Auch wenn die Bahn schon über eine Stunde zu spät ist, kommt sie sicherlich noch.","Even if the train is over an hour too late, it is certainly still coming.",52.1912899981676,0.859955672719647
1649,weisen,verb,,to point,Er weist in die gleiche Richtung.,He points in the same direction.,52.1912899981676,0.926097463488625
1650,Tradition,noun,die,tradition,"Die Tradition, dass man während der Ehe einen Ring trägt, gibt es nicht überall.",The tradition of wearing a ring during marriage is not found everywhere.,52.0927228782466,0.885822102622121
1651,brennen,verb,,to burn,"Weil das Feuer brennt, ist uns warm.","Because the fire is burning, we are warm.",52.0434393182861,0.900534711710424
1652,freiwillig,adj,,voluntary,Nach dem Abschluss der Schule arbeiten viele Schüler freiwillig in sozialen Institutionen.,"After leaving school, many students work voluntarily in social institutions.",52.0434393182861,0.941120396126644
1653,umso,conj,,the (more . . . the),"Umso schneller wir fahren, umso eher sind wir am Ziel.","The faster we drive, the sooner we’re at our destination.",52.0434393182861,0.924311916554299
1654,Antrag,noun,der,application,Er füllt den Antrag aus und reicht ihn bei der zuständigen Behörde ein.,He fills out the application and sends it to the responsible authority.,51.9448721983651,0.704998036021077
1655,Reich,noun,das,"empire, kingdom",Die Studenten hören einen Beitrag über das Römische Reich.,The students listen to a piece about the Roman Empire.,51.9448721983651,0.790825667523718
1656,investieren,verb,,to invest,Clara investiert viel Zeit in ihr Studium.,Clara invests a lot of time in her studies.,51.8955886384046,0.881108970590612
1657,bestellen,verb,,"to order, reserve",Jan und Ludwig bestellen sich eine große Pizza im Restaurant.,Jan and Ludwig order a large pizza in the restaurant.,51.5998872786417,0.905148068313778
1658,Gelegenheit,noun,die,opportunity,"Die Gelegenheit ist günstig, jetzt eine Wohnung zu kaufen.",The opportunity is good to buy an apartment now.,51.5998872786417,0.926411450784607
1659,Mauer,noun,die,wall,Von der Mauer in Berlin stehen noch immer einige Teile.,There are still some parts of the Wall in Berlin.,51.5506037186812,0.89133935741248
1660,stattdessen,adv,,instead,"Nina wollte nach Spanien reisen, aber fährt stattdessen nach Frankreich.","Nina wanted to travel to Spain, but is going to France instead.",51.5506037186812,0.910917479423329
1661,Stuhl,noun,der,chair,"Sabine kauft vier neue Stühle, die zu dem Tisch passen.",Sabine buys four new chairs to match the table.,51.5506037186812,0.859628266028929
1662,Ton,noun,der,"sound, tone, clay","In Musik lernen wir, Töne zu singen.",In music we learn to sing sounds.,51.5506037186812,0.918615063770048
1663,Büro,noun,das,office,Ludwig bekommt in der Firma ein neues Büro.,Ludwig gets a new office in the company.,51.5013201587207,0.90634502131805
1664,Umwelt,noun,die,environment,"Es ist an der Zeit, besser auf unsere Umwelt zu achten.",It’s time to take better care of our environment.,51.5013201587207,0.870565780155777
1665,rauchen,verb,,to smoke,In den meisten Restaurants darf man nicht mehr Zigaretten rauchen.,In most restaurants you are no longer allowed to smoke cigarettes.,51.4520365987602,0.857125955450022
1666,Beschreibung,noun,die,description,"Felix gibt mir eine Beschreibung, wie ich den Weg zum Bahnhof finde.",Felix gives me a description of how to find my way to the station.,51.4027530387997,0.846122082062583
1667,Pflanze,noun,die,plant,"Pflanzen brauchen Licht, um zu wachsen.",Plants need light to grow.,51.4027530387997,0.835428537463783
1668,Tätigkeit,noun,die,"activity, work","Patrick hat keine geregelte Tätigkeit, er ist arbeitslos.","Patrick has no regular job, he’s unemployed.",51.4027530387997,0.882560851790254
1669,Landschaft,noun,die,"landscape, countryside",Die Landschaft außerhalb von Leipzig ist sehr grün und schön.,The landscape outside Leipzig is very green and beautiful.,51.3534694788392,0.865659414324189
1670,verweisen,verb,,"to refer, expel",Der Trainer verweist den Spieler des Platzes.,The coach expels the player from the pitch.,51.3534694788392,0.868134678359559
1671,Arbeitsplatz,noun,der,"workplace, job",Svenjas Arbeitsplatz ist immer sehr sauber und ordentlich.,Svenja’s workplace is always very clean and tidy.,51.3041859188787,0.895620006961026
1672,erfassen,verb,,"to determine, grasp, acquire","Mit einer Umfrage erfasst die Universität, wie zufrieden die Studierenden sind.",With a survey the university determines how satisfied the students are.,51.3041859188787,0.892792233359416
1673,Komponente,noun,die,component,"Das Gericht besteht aus verschiedenen Komponenten, die auch einzeln gut schmecken.",The dish consists of different components that also taste good individually.,51.3041859188787,0.817006335705329
1674,Ion,noun,das,ion,Das Ion ist ein elektrisch geladenes Molekül.,The ion is an electrically charged molecule.,51.2056187989577,0.625924362912451
1675,Laden,noun,der,shop,"Auf dem Land gibt es noch viele kleine, private Läden, die Lebensmittel verkaufen.","In the countryside there are still many small, private shops selling food.",51.1563352389972,0.892497728903765
1676,fein,adj,,fine,Ute hat sehr feines Haar.,Ute has very fine hair.,51.1070516790367,0.904700380017813
1677,Stern,noun,der,star,Am Himmel über der Stadt sieht man weniger Sterne als auf dem Land.,You can see fewer stars in the sky above the city than in the country.,51.1070516790367,0.876899412534887
1678,Schuh,noun,der,shoe,"Zieh die Schuhe aus, wenn du ins Haus gehst!",Take off your shoes when you go in the house!,50.9592009991552,0.877661620660795
1679,Knie,noun,das,knee,Bei einem Rennen in Berlin verletzte sich ein Sportler schwer am Knie.,"At a race in Berlin, one athlete injured his knee badly.",50.9099174391947,0.846570603912602
1680,null,num,,zero,"Timur hat null Ahnung, was die Lösung ist.",Timur has zero idea what the solution is.,50.9099174391947,0.875804052342285
1681,Schicht,noun,die,"layer, class",Auf dem Berg liegt manchmal auch im Sommer eine Schicht Schnee.,Sometimes there is a layer of snow on the mountain even in summer.,50.9099174391947,0.831271225848985
1682,unglaublich,adj,,incredible,Die Aktien sind in den letzten Tagen unglaublich gestiegen.,The shares have risen incredibly in the last few days.,50.8606338792342,0.8977322986517
1683,zurück,adv,,back,Jan kommt aus dem Urlaub zurück nach Hause.,Jan comes back home from vacation.,50.8606338792342,0.908866486470364
1684,Realität,noun,die,reality,"In der Realität sind Probleme oft kleiner, als man denkt.","In reality, problems are often smaller than you think.",50.8113503192737,0.908231857773323
1685,sobald,conj,,as soon as,"Sobald Jürgen dort einen Job findet, zieht er nach Berlin.","As soon as Jürgen finds a job there, he’s moving to Berlin.",50.8113503192737,0.917531365764655
1686,belegen,verb,,"to occupy, prove, verify, take",In diesem Wintersemester belegt Charlotte nur drei Kurse an der Uni.,This winter semester Charlotte is only taking three courses at the university.,50.7620667593132,0.911146177719633
1687,Fluss,noun,der,river,"Die Pleiße ist ein Fluss, der durch Leipzig fließt.",The Pleiße is a river that flows through Leipzig.,50.7620667593132,0.887507833014506
1688,Alternative,noun,die,alternative,Mittlerweile gibt es viele gute Alternativen zu Fleisch.,Meanwhile there are many good alternatives to meat.,50.6634996393922,0.852243387635866
1689,verpflichten,verb,,"to obligate, oblige, commit","Der Vertrag verpflichtet Frau Meier dazu, 30 Stunden pro Woche zu arbeiten.",The contract obliges Ms. Meier to work 30 hours a week.,50.6634996393922,0.855502009970702
1690,begrüßen,verb,,to greet,Felix kommt ins Büro und begrüßt als erstes alle Kollegen.,Felix comes into the office and greets all his colleagues first.,50.6142160794317,0.869377511582278
1691,Führung,noun,die,"management, command, leadership",Unter der Führung des neuen Managers steigen die Umsätze wieder.,Sales increase again under the leadership of the new manager.,50.6142160794317,0.856815492946741
1692,"untere (r, s)",adj,,lower,"Ich wohne in der unteren Wohnung, damit ich nicht so viele Treppen steigen muss.",I live in the lower apartment so I don’t have to climb so many stairs.,50.6142160794317,0.802625812580845
1693,Handy,noun,das,mobile phone,"Mit den neuen Handys kann man nicht nur telefonieren, sondern auch ins Internet gehen.","With the new mobile phones you can not only make phone calls, but also go online.",50.5649325194712,0.855599110575789
1694,Hauptstadt,noun,die,capital city,Berlin ist die Hauptstadt von Deutschland.,Berlin is the capital city of Germany.,50.5156489595107,0.862430078621319
1695,Experiment,noun,das,experiment,"Der Lehrer zeigt in einem Experiment, wie zwei chemische Substanzen miteinander reagieren.",The teacher shows in an experiment how two chemical substances react with each other.,50.4663653995502,0.821798319886206
1696,Frieden,noun,der,peace,"Solange es Krieg gibt, kann es keinen Frieden auf der Welt geben.","As long as there is war, there can be no peace in the world.",50.4170818395897,0.88579405580019
1697,Verlauf,noun,der,course,Der Verlauf der Krankheit ist tödlich.,The course of the disease is fatal.,50.4170818395897,0.889258737481804
1698,Potenzial,noun,das,potential,Das Potenzial vieler Kinder wird in der Schule nicht erkannt.,The potential of many children is not recognized at school.,50.3185147196687,0.841016189122969
1699,Verlag,noun,der,publishing company,Viele Verlage veröffentlichen immer mehr Bücher.,Many publishing companies are publishing more and more books.,50.2692311597082,0.874905969305856
1700,Ministerpräsident,noun,der,"governor, minister president",Der Ministerpräsident besetzt ein öffentliches Amt im Parlament.,The minister president holds a public office in parliament.,50.1706640397872,0.779193436455762
1701,Vogel,noun,der,bird,Am Himmel fliegen viele Vögel.,A lot of birds fly in the sky.,50.1706640397872,0.873154320003442
1702,beschränken,verb,,to restrict,Der Text beschränkt sich auf die wichtigsten Fakten.,The text restricts itself to the most important facts.,50.0720969198662,0.890279208409305
1703,Branche,noun,die,"sector, line of business",Das Arbeiten mit Aktien ist keine sichere Branche.,Working with stocks is not a safe sector.,50.0720969198662,0.853141264613301
1704,Schauspieler,noun,der,actor,Das Theater sucht junge Schauspieler für ein neues Stück.,The theater is looking for young actors for a new play.,50.0228133599057,0.84875326299075
1705,vorschlagen,verb,,to suggest,"Katja schlägt vor, bei guten Wetter ans Meer zu fahren.",Katja suggests driving to the sea in good weather.,50.0228133599057,0.90778453121617
1706,beinahe,adv,,"almost, nearly",Wir haben beinahe den Zug verpasst.,We almost missed the train.,49.9735297999452,0.896747603459061
1707,jährlich,adj,,annual,Die Universität vergibt jährlich den Preis für den besten Professor.,The university awards the prize for the best professor annually.,49.9735297999452,0.897879784682429
1708,Botschaft,noun,die,message,"Die Polizei glaubt, dass der Brief eine Botschaft enthält.",The police believe that the letter contains a message.,49.9242462399847,0.914822455672892
1709,Alltag,noun,der,"workday, daily routine, everyday life",Im Alltag tragen viele Menschen andere Kleidung als im Urlaub.,Many people wear different clothes in everyday life than on vacation.,49.8749626800242,0.91968377021539
1710,Umsatz,noun,der,"turnover, sales","Durch Werbung versuchen wir, den Umsatz unseres Geschäfts zu steigern.",We try to increase the turnover of our business through advertising.,49.8749626800242,0.816228959678766
1711,Verband,noun,der,"association, bandage",Das Kind bekommt im Krankenhaus einen neuen Verband um seinen Arm.,The child gets a new bandage around his arm in the hospital.,49.8749626800242,0.867443433582799
1712,betreten,verb,,"to enter, walk into/onto","Wir dürfen das Haus nicht betreten, weil es hier nicht sicher ist.",We’re not allowed to enter the house because it’s not safe here.,49.8256791200637,0.87853622232907
1713,Regelung,noun,die,"regulation, settlement","Eine neue Regelung besagt, dass Jugendliche mit ihren Eltern schon mit 17 Jahren Auto fahren dürfen.",A new regulation states that young people are allowed to drive a car with their parents at the age of 17.,49.7763955601032,0.822902370403533
1714,teilnehmen,verb,,to take part,Angela nimmt an der Veranstaltung am Samstag teil.,Angela takes part in the event on Saturday.,49.7763955601032,0.925554495784738
1715,überwiegen,verb,,to outweigh,"Weil die negativen Argumente überwiegen, entscheide ich mich dagegen.","Since the negative arguments outweigh the positive ones, I am against it.",49.7763955601032,0.878834675661359
1716,bedingen,verb,,to cause,Die Ergebnisse des Experiments bedingen eine Änderung der ursprünglichen Annahme.,The results of the experiment cause a change in the original assumption.,49.7271120001427,0.789281242157286
1717,Gestalt,noun,die,"shape, form, figure",Der Mann hat zur Zeit der Tat eine dunkle Gestalt gesehen.,The man saw a dark figure at the time.,49.5792613202612,0.89987971005702
1718,zukommen,verb,,"to come toward, be in store",Ali kommt auf Emi zu und umarmt sie.,Ali comes toward Emi and embraces her.,49.5299777603007,0.92453199247592
1719,ablaufen,verb,,"to run out, expire",Mein Pass läuft nächstes Jahr ab.,My passport expires next year.,49.4314106403797,0.886507997710274
1720,Minister,noun,der,minister,Wir wählen einen neuen Minister für das Amt für Bildung.,We elect a new minister for the Office of Education.,49.4314106403797,0.815646335006446
1721,Fahrzeug,noun,das,vehicle,Irgendwann fahren nur noch elektronische Fahrzeuge.,"At some point, only electronic vehicles will be driving.",49.3328435204587,0.843110365482231
1722,fließen,verb,,to flow,Durch Leipzig fließen zwei Flüsse.,Two rivers flow through Leipzig.,49.3328435204587,0.915124147903034
1723,gemäß,prep,,according to,Gemäß der Regeln dürfen Schüler die Schule nicht vor Ende des Unterrichts verlassen.,"According to the rules, students are not allowed to leave the school before the end of the lesson.",49.3328435204587,0.806260999624604
1724,Vorwurf,noun,der,"reproach, accusation","Meine Frau macht mir den Vorwurf, dass ich ihr nie zuhöre.",The accusation my wife makes is that I never listen to her.,49.3328435204587,0.877428499824936
1725,erforderlich,adj,,"required, necessary",Herr Stein hat alle erforderlichen Voraussetzungen für den Job.,Mr. Stein has all the necessary requirements for the job.,49.2835599604982,0.828167060669986
1726,Haltung,noun,die,"posture, attitude","Viele Leute, die am Schreibtisch arbeiten, haben keine gesunde Haltung.",Many people who work at desks do not have a healthy posture.,49.2342764005377,0.90609241199773
1727,Schriftsteller,noun,der,writer,Bei einem Gespräch verrät der Schriftsteller erste Fakten zu seinem neuen Buch.,"During a conversation, the writer reveals the first facts about his new book.",49.2342764005377,0.819667622620315
1728,Stimmung,noun,die,"mood, atmosphere",Die Stimmung auf der Geburtstagfeier von Ann-Katrin ist sehr gut.,The atmosphere at Ann-Katrin’s birthday party is very good.,49.1849928405772,0.92112395122524
1729,zufällig,adj,,"accidental, by chance",Nora trifft beim Einkaufen zufällig ihren Bruder.,Nora meets her brother by chance while shopping.,49.1849928405772,0.865326705557136
1730,enorm,adj,,enormous,Die Firma hat in diesem Jahr enorme Umsätze.,The company has enormous sales this year.,49.1357092806167,0.915682729409704
1731,Fach,noun,das,"compartment, subject",Chemie ist Frederiks bestes Fach in der Schule.,Chemistry is Frederik’s best subject at school.,49.1357092806167,0.84867377563944
1732,begrenzen,verb,,"to limit, restrict",Sie möchten die wöchentliche Arbeitszeit auf 35 Stunden begrenzen.,They want to limit the weekly working hours to 35.,49.0864257206562,0.907142441790871
1733,Lied,noun,das,song,Wir singen für sie ein Lied zu ihrem Geburtstag.,We’ll sing her a song for her birthday.,49.0371421606957,0.887119530279454
1734,Nation,noun,die,nation,Jede Nation hat ihre eigene Sprache und ihre eigenen Traditionen.,Each nation has its own language and traditions.,49.0371421606957,0.872741006322463
1735,Verhandlung,noun,die,negotiation,Morgen beginnen die Verhandlungen zu einem neuen Gesetz.,Negotiations on a new law begin tomorrow.,49.0371421606957,0.86337938829058
1736,Wein,noun,der,wine,Dietmar bestellt im Restaurant eine teure Flasche Wein.,Dietmar orders an expensive bottle of wine at the restaurant.,49.0371421606957,0.893160793443258
1737,Auflage,noun,die,"edition, condition, plating",Die Bibliothek führt nicht die neueste Auflage des Buches.,The library does not carry the latest edition of the book.,48.9878586007353,0.827929711947219
1738,billig,adj,,cheap,Einige billige Produkte halten nicht sehr lange.,Some cheap products do not last very long.,48.9878586007353,0.899908828209165
1739,dünn,adj,,thin,Auf dem See ist eine dünne Schicht Eis.,There’s a thin layer of ice on the lake.,48.9385750407748,0.890224532334232
1740,achten,verb,,"to respect, pay attention","Kinder achten häufig nicht auf Autos, bevor sie über die Straße laufen.",Children often don’t pay attention to cars before they cross the road.,48.8892914808143,0.922886907086432
1741,Amerikaner,noun,der,American,"Ich bin stolz, ein Amerikaner zu sein und in New York zu wohnen.",I’m proud to be an American and live in New York.,48.8892914808143,0.893825271923829
1742,Anbieter,noun,der,supplier,Für den neuen Vertrag seines Handys wechselt Kai zu einem anderen Anbieter.,Kai switches to another supplier for the new contract for his mobile phone.,48.8892914808143,0.736216289750394
1743,Industrie,noun,die,industry,Die Industrie ist ein Teil der Wirtschaft.,The industry is part of the economy.,48.8892914808143,0.868597226877207
1744,Spanien,noun,das,Spain,Ich freue mich auf meine erste Reise nach Spanien.,I’m looking forward to my first trip to Spain.,48.8892914808143,0.8670620313386
1745,ab,adv,,"off, away","Kinder, es ist schon spät, ab ins Bett mit euch!","Kids, it’s getting late. Off to bed with you!",48.8400079208538,0.922331967758136
1746,Jude,noun,der,Jew,Yom Kippur ist bei den Juden ein religiöser Tag.,Yom Kippur is a religious day for the Jews.,48.8400079208538,0.862236963363462
1747,Vorgang,noun,der,"procedure, process",Der Lehrer erklärt die chemischen Vorgänge bei der Herstellung von Alkohol.,The teacher explains the chemical processes involved in the production of alcohol.,48.8400079208538,0.883847651932604
1748,ausgeben,verb,,to spend,Maria gibt ihr ganzes Geld für das Reisen aus.,Maria spends all her money traveling.,48.7414408009328,0.919083462772513
1749,Meister,noun,der,master,Unser Professor ist ein Meister in seinem Fach.,Our professor is a master in his field.,48.7414408009328,0.866582712011703
1750,umdrehen,verb,,"to turn over, turn around","Dreh dich mal um, ich stehe hinter dir.","Turn around, I’m behind you.",48.7414408009328,0.860360672339891
1751,weitgehend,adj,,extensive,"Der Professor stimmt der Aussage des Studenten weitgehend zu, aber nicht vollständig.","The professor agrees with the student’s statement extensively, but not completely.",48.7414408009328,0.907320065562595
1752,traurig,adj,,sad,"Lucy ist traurig, weil ihr Hund gestorben ist.",Lucy is sad because her dog died.,48.6921572409723,0.902911245222211
1753,Aufmerksamkeit,noun,die,attention,Vielen Dank für Ihre Aufmerksamkeit!,Thank you for your attention!,48.6428736810118,0.871069865748211
1754,Berechnung,noun,die,calculation,Nach den neuen Berechnungen der Manager kann sich die Firma einen zweiten Standort leisten.,"According to the new calculations of the managers, the company can afford a second location.",48.5935901210513,0.818427834205245
1755,gegenseitig,adj,,"mutual, each other",Ole und Janosch werfen sich gegenseitig einen Ball zu.,Ole and Janosch throw each other a ball.,48.5935901210513,0.93738175139274
1756,kurzfristig,adj,,at short notice,Leider muss meine Familie den Urlaub kurzfristig verschieben.,"Unfortunately, my family has to postpone their vacation at short notice.",48.5935901210513,0.764427664531858
1757,Stufe,noun,die,"step, level",Eine Treppe besteht aus mehreren Stufen.,A staircase consists of multiple steps.,48.5443065610908,0.906648784223046
1758,Urteil,noun,das,"sentence, judgment",Der Richter verkündet das Urteil am Ende des Prozesses.,The judge pronounces the sentence at the end of the trial.,48.4950230011303,0.896307150025252
1759,primär,adj,,primary,"Sein primäres Ziel war es, den Armen zu helfen.",His primary goal was to help the poor.,48.3964558812093,0.800735814782991
1760,Schnee,noun,der,snow,Zu Weihnachten lag leider kein Schnee.,"Unfortunately, there was no snow for Christmas.",48.3471723212488,0.850417798389258
